account_id,customer_id,account_type,branch_id,balance,opening_date,account_status
A0241,C0016,Salary,B027,4806019.74,2021-05-27,Inactive
A0006,C0050,Current,B035,2666495.91,2025-01-11,Active
A0044,C0241,Business,B003,200483.59,2025-04-10,Inactive
A0517,C0391,Salary,B012,3549764.52,2018-04-28,Frozen
A0332,C0168,Business,B042,3301163.63,2019-01-06,Active
A0351,C0298,Business,B045,401235.47,2026-03-10,Frozen
A0299,C0140,Business,B006,2485775.12,2020-08-31,Inactive
A0190,C0081,Business,B023,4512522.37,2024-03-03,Inactive
A0128,C0301,Business,B027,837423.22,2018-04-05,Active
A0231,C0351,Salary,B023,3126529.62,2020-08-25,Frozen
A0509,C0166,Salary,B044,3999586.15,2021-01-16,Frozen
A0121,C0445,Current,B037,2879896.39,2025-04-12,Frozen
A0135,C0018,Salary,B021,4321341.47,2023-03-29,Frozen
A0589,C0244,Current,B018,88063.92,invalid-date,Active
A0015,C0055,Salary,B044,1507452.2,2018-12-21,Inactive
A0075,C0130,Salary,B037,1722437.16,2025-11-29,Inactive
A0406,C0235,Current,B038,1165695.31,2018-10-23,Active
A0210,C0397,Current,B009,2405131.59,2020-03-22,Inactive
A0549,C0415,Business,B037,72934.89,2023-05-03,Active
A0215,C0395,Salary,B011,4938271.93,2024-11-29,Inactive
A0097,C0048,Business,B044,3744191.87,2021-11-01,Active
A0347,C0283,Business,B025,1777180.85,2020-02-01,Inactive
A0373,C0470,Salary,B028,3052817.35,2025-04-24,Inactive
A0145,C0200,Business,B015,1315638.4,2022-09-26,Frozen
A0422,C0020,Current,B046,2499938.29,2018-12-27,Frozen
A0111,C0242,Salary,B024,920384.46,2022-10-03,Active
A0507,C0149,Salary,B034,3195093.68,2018-11-11,Frozen
A0106,C0066,Savings,B034,3996550.32,2023-05-14,Frozen
A0439,C0215,Current,B022,1100047.97,2021-04-23,Frozen
A0221,C0105,Salary,B036,2415648.63,2026-03-09,Active
A0067,C0180,Savings,B028,670281.65,2023-05-09,Active
A0196,C0439,Salary,B002,3857843.84,2025-09-26,Inactive
A0587,C0442,Savings,B032,53813.53,invalid-date,Active
A0383,C0412,Current,B008,3478572.51,2020-11-03,Inactive
A0148,C0327,Business,B040,2264383.4,2025-11-09,Frozen
A0532,C0110,Current,B027,565114.55,2021-07-11,Active
A0401,C0454,Business,B013,700574.82,2020-03-01,Active
A0570,C0412,Current,B040,3714697.24,2019-01-12,Frozen
A0442,C0008,Business,B016,1239909.39,2022-11-14,Frozen
A0098,C0284,Current,B031,1570050.03,2020-06-14,Frozen
A0105,C0252,Current,B033,1402052.85,2020-06-28,Frozen
A0366,C0386,Business,B025,1190499.25,2022-12-08,Frozen
A0115,C0075,Current,B031,4028536.14,2019-12-25,Inactive
A0498,C0238,Current,B002,3956306.52,2019-09-23,Inactive
A0254,C0450,Current,B034,2689807.85,2026-03-31,Active
A0345,C0224,Current,B006,686964.12,2022-08-31,Inactive
A0424,C0099,Savings,B034,4883980.61,2024-12-10,Inactive
A0233,C0285,Salary,B015,759389.2,2022-05-29,Frozen
A0476,C0288,Savings,B043,1585401.88,2021-11-09,Active
A0472,C0076,Salary,B019,2280176.76,2019-11-13,Frozen
A0396,C0063,Salary,B022,3409496.84,2022-06-29,Active
A0223,C0023,Salary,B011,301490.14,2020-04-02,Frozen
A0270,C0414,Savings,B039,4413631.9,2020-09-01,Active
A0368,C0329,Salary,B008,263563.46,2023-03-16,Inactive
A0008,C0276,Business,B042,4083954.99,2018-10-23,Frozen
A0061,C0009,Current,B034,4298098.87,2023-08-28,Frozen
A0291,C0203,Savings,B012,970883.88,2021-10-16,Frozen
A0485,C0100,Current,B018,979382.65,2018-12-09,Frozen
A0088,C0469,Salary,B023,4816475.04,2021-02-06,Active
A0550,C0259,Salary,B035,1718734.63,2024-01-24,Frozen
A0491,C0213,Business,B019,819787.93,2026-03-01,Inactive
A0046,C0193,Business,B024,2938806.44,2018-11-15,Frozen
A0077,C0401,Current,B007,1073076.25,2022-06-29,Inactive
A0537,C0097,Savings,B031,4695470.93,2022-02-14,Active
A0308,C0457,Current,B021,1003577.01,2021-03-19,Inactive
A0220,C0242,Savings,B022,1045838.7,2024-01-13,Active
A0577,C0437,Savings,B047,-4909.84,2023-02-10,Active
A0206,C0258,Current,B010,253548.55,2026-03-16,Inactive
A0026,C0102,Business,B022,1786334.66,2025-07-12,Frozen
A0173,C0260,Business,B047,928485.92,2018-03-18,Frozen
A0269,C0319,Salary,B001,2293754.65,2023-08-05,Frozen
A0527,C0314,Current,B033,2851606.55,2019-02-10,Frozen
A0474,C0464,Current,B011,1190288.72,2018-06-18,Inactive
A0092,C0449,Salary,B045,2214400.43,2022-03-25,Frozen
A0235,C0447,Current,B027,1202563.68,2019-09-18,Inactive
A0024,C0059,Current,B043,3998500.61,2018-08-11,Frozen
A0584,C0169,InvalidType,B038,73986.4,2024-04-28,Active
A0230,C0171,Business,B026,3722209.21,2018-03-17,Inactive
A0387,C0417,Salary,B012,2203433.59,2023-07-08,Active
A0278,C0325,Current,B027,27426.54,2024-08-10,Active
A0187,C0384,Business,B007,3831650.82,2024-06-19,Inactive
A0586,C0110,Salary,B029,41429.18,invalid-date,Active
A0425,C0442,Current,B030,3851886.08,2025-05-24,Active
A0087,C0378,Savings,B006,2748413.68,2026-02-22,Frozen
A0204,C0383,Savings,B041,3887315.67,2022-04-16,Active
A0289,C0006,Current,B045,1408851.89,2018-10-05,Inactive
A0336,C0292,Salary,B028,3589238.32,2021-11-11,Active
A0178,C0448,Savings,B013,536168.79,2020-02-24,Active
A0267,C0158,Salary,B047,3843383.48,2023-01-02,Inactive
A0137,C0091,Business,B041,3744809.1,2024-04-29,Inactive
A0490,C0229,Savings,B014,3639538.93,2022-12-25,Frozen
A0463,C0042,Business,B012,1442575.07,2018-11-12,Active
A0328,C0356,Current,B012,3313398.67,2018-11-16,Frozen
A0421,C0231,Business,B016,4690509.96,2024-11-05,Frozen
A0134,C0227,Current,B009,2634184.95,2019-11-30,Active
A0529,C0088,Savings,B047,494329.91,2020-05-26,Frozen
A0256,C0150,Business,B026,4422103.48,2021-03-17,Inactive
A0162,C0062,Business,B016,45640.35,2018-06-22,Frozen
A0114,C0139,Current,B036,2161661.54,2022-04-10,Active
A0085,C0123,Savings,B011,435127.22,2021-02-04,Inactive
A0322,C0058,Salary,B031,2306747.18,2019-12-01,Inactive
A0313,C0088,Savings,B020,3066701.15,2021-10-19,Frozen
A0205,C0157,Savings,B021,2700108.72,2019-09-05,Inactive
A0411,C0255,Current,B005,4022463.2,2022-10-12,Inactive
A0004,C0013,Salary,B033,4014280.87,2022-12-31,Inactive
A0140,C0006,Savings,B034,4077083.57,2019-07-13,Inactive
A0455,C0317,Savings,B024,1832798.55,2025-04-08,Frozen
A0189,C0406,Current,B036,2008384.31,2021-10-14,Frozen
A0054,C0304,Current,B009,3148072.58,2018-06-10,Frozen
A0029,C0300,Current,B037,2834742.6,2021-07-19,Inactive
A0465,C0448,Current,B034,4760571.73,2018-04-03,Inactive
A0335,C0200,Business,B013,1029102.75,2021-07-20,Inactive
A0431,C0459,Current,B047,2224659.64,2024-07-02,Inactive
A0361,C0436,Salary,B017,663561.28,2021-02-24,Inactive
A0068,C0466,Savings,B019,2991863.46,2024-02-06,Inactive
A0519,C0353,Current,B020,627595.56,2019-06-18,Active
A0268,C0321,Current,B008,4492811.03,2020-04-10,Active
,C0334,Salary,B033,80608.54,2025-06-05,Active
A0103,C0253,Savings,B035,4790007.46,2023-05-30,Inactive
A0433,C0167,Current,B007,1186354.69,2022-08-17,Active
A0341,C0196,Business,B035,1056869.16,2019-12-12,Inactive
A0423,C0424,Salary,B023,2094510.56,2024-04-03,Active
A0483,C0348,Savings,B020,124953.18,2024-12-04,Active
A0504,C0376,Savings,B017,815073.32,2018-08-28,Active
A0083,C0104,Salary,B013,169013.15,2024-09-21,Frozen
A0281,C0357,Current,B040,291864.75,2024-05-29,Frozen
A0035,C0040,Savings,B002,4248086.78,2025-01-31,Active
A0417,C0314,Business,B011,79136.0,2023-06-18,Active
A0325,C0273,Business,B026,2953089.25,2020-09-04,Frozen
A0450,C0238,Current,B046,2027396.5,2022-02-26,Frozen
A0165,C0389,Savings,B004,1778232.86,2019-09-23,Frozen
A0216,C0320,Current,B029,225342.88,2020-08-14,Active
A0305,C0366,Savings,B001,1555595.61,2018-06-30,Frozen
A0242,C0382,Salary,B010,3895760.32,2019-03-14,Active
A0093,C0248,Current,B022,4806232.39,2023-02-23,Frozen
A0309,C0273,Salary,B029,3355949.09,2021-01-21,Active
A0262,C0333,Current,B046,3666578.39,2019-01-09,Active
A0403,C0158,Business,B035,4824804.28,2023-01-15,Active
A0009,C0352,Current,B002,2296666.95,2021-09-20,Active
A0398,C0431,Business,B019,3239315.07,2019-12-25,Frozen
A0454,C0029,Salary,B004,555721.75,2022-02-06,Inactive
A0243,C0095,Savings,B040,3085115.58,2024-10-16,Frozen
A0548,C0390,Savings,B043,3758297.12,2026-08-10,Inactive
A0125,C0324,Business,B005,396480.53,2021-11-08,Active
A0588,C0359,Savings,B021,55028.76,invalid-date,Active
A0317,C0366,Savings,B030,2839378.72,2019-01-16,Frozen
A0394,C0395,Business,B031,2180852.28,2026-02-28,Active
A0566,C0051,Business,B007,3454628.96,2020-04-23,Inactive
A0260,C0070,Business,B027,1617981.2,2018-04-13,Active
A0246,C0434,Business,B046,3248193.2,2020-01-24,Inactive
A0056,C0208,Savings,B047,3640143.6,2021-03-07,Active
A0036,C0417,Business,B038,1064590.67,2018-05-31,Frozen
A0022,C0177,Current,B027,4528234.52,2023-10-01,Active
A0316,C0361,Business,B040,1778765.94,2021-09-23,Active
A0377,C0161,Savings,B044,43372.36,2018-10-06,Active
A0487,C0202,Current,B032,1589471.3,2024-10-14,Frozen
A0372,C0348,Salary,B034,3414698.68,2018-06-18,Active
A0149,C0252,Current,B021,97957.59,2018-07-23,Frozen
